coupling,strength,n,preserve_l1_mean,edit_l1_mean,preserve_l1_std,edit_l1_std
full_coupling,0.0,16,0.03402526897843927,0.04353220795746893,0.026202267352611917,0.0191835449089553
full_coupling,0.25,16,0.028919705655425787,0.035680896951816976,0.025034042865724544,0.015072679232691504
full_coupling,0.5,16,0.046444181294646114,0.0664092407678254,0.05086296076652768,0.08075947915748628
full_coupling,0.75,16,0.08973345946287736,0.19072373100789264,0.07391948135931901,0.1240721596913533
full_coupling,1.0,16,0.13978593272622675,0.24340036767534912,0.07014271688985071,0.10388361203241367
selective_coupling,0.0,16,0.026847846806049347,0.036059899255633354,0.010837778720215708,0.01529105246462691
selective_coupling,0.25,16,0.021081225655507296,0.03090047196019441,0.010755695376429515,0.01217986411388897
selective_coupling,0.5,16,0.03571496158838272,0.07759096816880628,0.027979536506398523,0.09201046516573509
selective_coupling,0.75,16,0.08472293085651472,0.20654391794232652,0.07167672898489712,0.11390097485627937
selective_coupling,1.0,16,0.12137545039877295,0.25644107768312097,0.09315015748581452,0.11243579959707065
