category,delta_q_early_clip,delta_q_final_clip,pair_id,sample_id,sign_agree_clip,subgroup,timestep_mode,valid_clip
1_change_object_80,0.0034614205360412598,0.07686543464660645,0,piebench_1_change_object_80_111000000001,1,structural_discrete,first_only,1
1_change_object_80,0.04431241750717163,0.04894357919692993,1,piebench_1_change_object_80_111000000001,1,structural_discrete,first_only,1
1_change_object_80,-0.1283879280090332,0.032316744327545166,2,piebench_1_change_object_80_111000000001,0,structural_discrete,first_only,1
1_change_object_80,0.12560439109802246,-0.002449631690979004,3,piebench_1_change_object_80_111000000001,0,structural_discrete,first_only,1
1_change_object_80,-0.03348994255065918,0.0478745698928833,4,piebench_1_change_object_80_111000000001,0,structural_discrete,first_only,1
1_change_object_80,-0.06210547685623169,0.09566682577133179,5,piebench_1_change_object_80_111000000001,0,structural_discrete,first_only,1
1_change_object_80,-0.022069096565246582,-0.011766135692596436,6,piebench_1_change_object_80_111000000001,1,structural_discrete,first_only,1
1_change_object_80,-0.05851024389266968,-0.10973191261291504,7,piebench_1_change_object_80_111000000001,1,structural_discrete,first_only,1
1_change_object_80,-0.060182929039001465,-0.013650953769683838,8,piebench_1_change_object_80_111000000001,1,structural_discrete,first_only,1
1_change_object_80,-0.11738944053649902,-0.08458352088928223,9,piebench_1_change_object_80_111000000001,1,structural_discrete,first_only,1
1_change_object_80,-0.08073931932449341,-0.047019898891448975,10,piebench_1_change_object_80_111000000001,1,structural_discrete,first_only,1
1_change_object_80,-0.14930671453475952,-0.02791011333465576,11,piebench_1_change_object_80_111000000001,1,structural_discrete,first_only,1
1_change_object_80,0.0030525922775268555,-0.021668076515197754,12,piebench_1_change_object_80_111000000001,0,structural_discrete,first_only,1
1_change_object_80,-0.17068135738372803,-0.01933532953262329,13,piebench_1_change_object_80_111000000001,1,structural_discrete,first_only,1
1_change_object_80,-0.032078325748443604,-0.02554166316986084,14,piebench_1_change_object_80_111000000001,1,structural_discrete,first_only,1
1_change_object_80,0.01251453161239624,0.05137312412261963,15,piebench_1_change_object_80_111000000001,1,structural_discrete,first_only,1
1_change_object_80,0.03849095106124878,0.08137655258178711,0,piebench_1_change_object_80_111000000001,1,structural_discrete,first_two,1
1_change_object_80,0.012554585933685303,0.009846806526184082,1,piebench_1_change_object_80_111000000001,1,structural_discrete,first_two,1
1_change_object_80,-0.01987278461456299,0.08426076173782349,2,piebench_1_change_object_80_111000000001,0,structural_discrete,first_two,1
1_change_object_80,0.07559412717819214,-0.06898409128189087,3,piebench_1_change_object_80_111000000001,0,structural_discrete,first_two,1
1_change_object_80,0.01103663444519043,0.041374921798706055,4,piebench_1_change_object_80_111000000001,1,structural_discrete,first_two,1
1_change_object_80,0.006576061248779297,0.0431821346282959,5,piebench_1_change_object_80_111000000001,1,structural_discrete,first_two,1
1_change_object_80,0.03948622941970825,-0.0192146897315979,6,piebench_1_change_object_80_111000000001,0,structural_discrete,first_two,1
1_change_object_80,0.01976114511489868,-0.09146380424499512,7,piebench_1_change_object_80_111000000001,0,structural_discrete,first_two,1
1_change_object_80,-0.11034566164016724,0.003721475601196289,8,piebench_1_change_object_80_111000000001,0,structural_discrete,first_two,1
1_change_object_80,-0.08223468065261841,-0.07794088125228882,9,piebench_1_change_object_80_111000000001,1,structural_discrete,first_two,1
1_change_object_80,-0.08563852310180664,-0.03742575645446777,10,piebench_1_change_object_80_111000000001,1,structural_discrete,first_two,1
1_change_object_80,-0.004114091396331787,-0.009602665901184082,11,piebench_1_change_object_80_111000000001,1,structural_discrete,first_two,1
1_change_object_80,-0.06285101175308228,-0.03809112310409546,12,piebench_1_change_object_80_111000000001,1,structural_discrete,first_two,1
1_change_object_80,-0.018834173679351807,-0.035159170627593994,13,piebench_1_change_object_80_111000000001,1,structural_discrete,first_two,1
1_change_object_80,-0.03341257572174072,0.05399113893508911,14,piebench_1_change_object_80_111000000001,0,structural_discrete,first_two,1
1_change_object_80,0.03906291723251343,0.03368055820465088,15,piebench_1_change_object_80_111000000001,1,structural_discrete,first_two,1
1_change_object_80,0.05640089511871338,0.05001896619796753,0,piebench_1_change_object_80_112000000002,1,structural_discrete,first_only,1
1_change_object_80,0.038154542446136475,-0.12361431121826172,1,piebench_1_change_object_80_112000000002,0,structural_discrete,first_only,1
1_change_object_80,-0.0054021477699279785,0.13883256912231445,2,piebench_1_change_object_80_112000000002,0,structural_discrete,first_only,1
1_change_object_80,0.08245611190795898,-0.3723156452178955,3,piebench_1_change_object_80_112000000002,0,structural_discrete,first_only,1
1_change_object_80,-0.06883418560028076,0.2094908356666565,4,piebench_1_change_object_80_112000000002,0,structural_discrete,first_only,1
1_change_object_80,0.06078505516052246,0.009147822856903076,5,piebench_1_change_object_80_112000000002,1,structural_discrete,first_only,1
1_change_object_80,-0.08415055274963379,0.12923425436019897,6,piebench_1_change_object_80_112000000002,0,structural_discrete,first_only,1
1_change_object_80,-0.0034195780754089355,0.1539192795753479,7,piebench_1_change_object_80_112000000002,0,structural_discrete,first_only,1
1_change_object_80,-0.07228004932403564,-0.25861656665802,8,piebench_1_change_object_80_112000000002,1,structural_discrete,first_only,1
1_change_object_80,-0.014092206954956055,0.33599990606307983,9,piebench_1_change_object_80_112000000002,0,structural_discrete,first_only,1
1_change_object_80,0.10583150386810303,0.1418861746788025,10,piebench_1_change_object_80_112000000002,1,structural_discrete,first_only,1
1_change_object_80,0.14912468194961548,0.5303142070770264,11,piebench_1_change_object_80_112000000002,1,structural_discrete,first_only,1
1_change_object_80,0.07284712791442871,0.2972337007522583,12,piebench_1_change_object_80_112000000002,1,structural_discrete,first_only,1
1_change_object_80,0.029140353202819824,0.3007279634475708,13,piebench_1_change_object_80_112000000002,1,structural_discrete,first_only,1
1_change_object_80,-0.08045613765716553,-0.3892176151275635,14,piebench_1_change_object_80_112000000002,1,structural_discrete,first_only,1
1_change_object_80,-0.02774137258529663,0.24585801362991333,15,piebench_1_change_object_80_112000000002,0,structural_discrete,first_only,1
1_change_object_80,0.06733530759811401,0.26760339736938477,0,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,-0.29473239183425903,-0.46911758184432983,1,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,0.09191620349884033,-0.09008777141571045,2,piebench_1_change_object_80_112000000002,0,structural_discrete,first_two,1
1_change_object_80,-0.12181210517883301,-0.18965613842010498,3,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,-0.093447744846344,-0.07533144950866699,4,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,0.03124135732650757,0.10017776489257812,5,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,0.004649519920349121,0.16198235750198364,6,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,0.0843648910522461,0.18890434503555298,7,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,-0.06321471929550171,-0.2724429965019226,8,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,-0.03585332632064819,0.23507028818130493,9,piebench_1_change_object_80_112000000002,0,structural_discrete,first_two,1
1_change_object_80,0.03949862718582153,0.11412948369979858,10,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,0.08212405443191528,0.5187653303146362,11,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,0.178544282913208,0.2885160446166992,12,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,0.01709139347076416,0.2693464756011963,13,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,-0.13633161783218384,-0.271542489528656,14,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
1_change_object_80,0.03414452075958252,0.16461414098739624,15,piebench_1_change_object_80_112000000002,1,structural_discrete,first_two,1
2_add_object_80,0.09642255306243896,0.09040117263793945,0,piebench_2_add_object_80_211000000001,1,structural_discrete,first_only,1
2_add_object_80,-9.319186210632324e-05,0.06979042291641235,1,piebench_2_add_object_80_211000000001,0,structural_discrete,first_only,1
2_add_object_80,0.012128680944442749,0.03817391395568848,2,piebench_2_add_object_80_211000000001,1,structural_discrete,first_only,1
2_add_object_80,0.011300265789031982,-0.0684061050415039,3,piebench_2_add_object_80_211000000001,0,structural_discrete,first_only,1
2_add_object_80,0.10256001353263855,0.022602200508117676,4,piebench_2_add_object_80_211000000001,1,structural_discrete,first_only,1
2_add_object_80,0.07285422086715698,0.02307218313217163,5,piebench_2_add_object_80_211000000001,1,structural_discrete,first_only,1
2_add_object_80,0.06768041849136353,-0.06147205829620361,6,piebench_2_add_object_80_211000000001,0,structural_discrete,first_only,1
2_add_object_80,0.030835971236228943,0.017961084842681885,7,piebench_2_add_object_80_211000000001,1,structural_discrete,first_only,1
2_add_object_80,-0.13895896077156067,0.047210633754730225,8,piebench_2_add_object_80_211000000001,0,structural_discrete,first_only,1
2_add_object_80,-0.02914157509803772,-0.63975390791893,9,piebench_2_add_object_80_211000000001,1,structural_discrete,first_only,1
2_add_object_80,0.010833323001861572,0.38459593057632446,10,piebench_2_add_object_80_211000000001,1,structural_discrete,first_only,1
2_add_object_80,0.1268581748008728,0.15435892343521118,11,piebench_2_add_object_80_211000000001,1,structural_discrete,first_only,1
2_add_object_80,0.04626283049583435,-0.08669191598892212,12,piebench_2_add_object_80_211000000001,0,structural_discrete,first_only,1
2_add_object_80,0.1691042184829712,0.018694281578063965,13,piebench_2_add_object_80_211000000001,1,structural_discrete,first_only,1
2_add_object_80,0.1886214017868042,0.03589332103729248,14,piebench_2_add_object_80_211000000001,1,structural_discrete,first_only,1
2_add_object_80,-0.06861564517021179,-0.4265470504760742,15,piebench_2_add_object_80_211000000001,1,structural_discrete,first_only,1
2_add_object_80,0.3713683485984802,0.14589029550552368,0,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,0.2831137180328369,0.08588182926177979,1,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,-0.041781067848205566,0.598589688539505,2,piebench_2_add_object_80_211000000001,0,structural_discrete,first_two,1
2_add_object_80,0.09906646609306335,-0.05873537063598633,3,piebench_2_add_object_80_211000000001,0,structural_discrete,first_two,1
2_add_object_80,0.010754257440567017,0.07929301261901855,4,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,0.28054696321487427,0.08973002433776855,5,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,0.23673942685127258,0.4158315062522888,6,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,-0.2656334936618805,-0.03863370418548584,7,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,0.22608625888824463,0.06511193513870239,8,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,0.22411218285560608,0.6642283499240875,9,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,0.08857595920562744,0.04065287113189697,10,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,-0.28565818071365356,-0.3322187066078186,11,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,-0.15249043703079224,-0.25382137298583984,12,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,-0.14522165060043335,0.005529463291168213,13,piebench_2_add_object_80_211000000001,0,structural_discrete,first_two,1
2_add_object_80,0.3146953880786896,0.09060019254684448,14,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,-0.3678938150405884,-0.6474455893039703,15,piebench_2_add_object_80_211000000001,1,structural_discrete,first_two,1
2_add_object_80,0.014492273330688477,-0.18588882684707642,0,piebench_2_add_object_80_212000000009,0,structural_discrete,first_only,1
