category,degenerate_clip,reversal_pairs_clip,reversal_ratio_clip,sample_id,subgroup,timestep_mode,valid_unordered_pairs_clip
1_change_object_80,0,189,0.3810483870967742,piebench_1_change_object_80_111000000001,structural_discrete,first_only,496
1_change_object_80,0,230,0.4637096774193548,piebench_1_change_object_80_111000000001,structural_discrete,first_two,496
1_change_object_80,0,237,0.4778225806451613,piebench_1_change_object_80_112000000002,structural_discrete,first_only,496
1_change_object_80,0,137,0.2762096774193548,piebench_1_change_object_80_112000000002,structural_discrete,first_two,496
2_add_object_80,0,188,0.3790322580645161,piebench_2_add_object_80_211000000001,structural_discrete,first_only,496
2_add_object_80,0,135,0.2721774193548387,piebench_2_add_object_80_211000000001,structural_discrete,first_two,496
2_add_object_80,0,286,0.5766129032258065,piebench_2_add_object_80_212000000009,structural_discrete,first_only,496
2_add_object_80,0,125,0.25201612903225806,piebench_2_add_object_80_212000000009,structural_discrete,first_two,496
3_delete_object_80,0,125,0.25201612903225806,piebench_3_delete_object_80_311000000001,structural_discrete,first_only,496
3_delete_object_80,0,116,0.23387096774193547,piebench_3_delete_object_80_311000000001,structural_discrete,first_two,496
3_delete_object_80,0,255,0.5141129032258065,piebench_3_delete_object_80_311000000007,structural_discrete,first_only,496
3_delete_object_80,0,196,0.3951612903225806,piebench_3_delete_object_80_311000000007,structural_discrete,first_two,496
4_change_attribute_content_40,0,196,0.3951612903225806,piebench_4_change_attribute_content_40_412000000002,appearance_like,first_only,496
4_change_attribute_content_40,0,216,0.43548387096774194,piebench_4_change_attribute_content_40_412000000002,appearance_like,first_two,496
4_change_attribute_content_40,0,265,0.5342741935483871,piebench_4_change_attribute_content_40_414000000003,appearance_like,first_only,496
4_change_attribute_content_40,0,125,0.25201612903225806,piebench_4_change_attribute_content_40_414000000003,appearance_like,first_two,496
5_change_attribute_pose_40,0,213,0.42943548387096775,piebench_5_change_attribute_pose_40_511000000001,structural_discrete,first_only,496
5_change_attribute_pose_40,0,220,0.4435483870967742,piebench_5_change_attribute_pose_40_511000000001,structural_discrete,first_two,496
5_change_attribute_pose_40,0,210,0.42338709677419356,piebench_5_change_attribute_pose_40_511000000002,structural_discrete,first_only,496
5_change_attribute_pose_40,0,170,0.34274193548387094,piebench_5_change_attribute_pose_40_511000000002,structural_discrete,first_two,496
6_change_attribute_color_40,0,233,0.46975806451612906,piebench_6_change_attribute_color_40_611000000000,appearance_like,first_only,496
6_change_attribute_color_40,0,227,0.4576612903225806,piebench_6_change_attribute_color_40_611000000000,appearance_like,first_two,496
6_change_attribute_color_40,0,143,0.28830645161290325,piebench_6_change_attribute_color_40_611000000003,appearance_like,first_only,496
6_change_attribute_color_40,0,107,0.2157258064516129,piebench_6_change_attribute_color_40_611000000003,appearance_like,first_two,496
7_change_attribute_material_40,0,204,0.4112903225806452,piebench_7_change_attribute_material_40_711000000000,appearance_like,first_only,496
7_change_attribute_material_40,0,195,0.39314516129032256,piebench_7_change_attribute_material_40_711000000000,appearance_like,first_two,496
7_change_attribute_material_40,0,203,0.4092741935483871,piebench_7_change_attribute_material_40_711000000004,appearance_like,first_only,496
7_change_attribute_material_40,0,129,0.2600806451612903,piebench_7_change_attribute_material_40_711000000004,appearance_like,first_two,496
8_change_background_80,0,167,0.33669354838709675,piebench_8_change_background_80_811000000003,appearance_like,first_only,496
8_change_background_80,0,121,0.2439516129032258,piebench_8_change_background_80_811000000003,appearance_like,first_two,496
9_change_style_80,0,159,0.32056451612903225,piebench_9_change_style_80_912000000002,appearance_like,first_only,496
9_change_style_80,0,280,0.5645161290322581,piebench_9_change_style_80_912000000002,appearance_like,first_two,496
